dataset,model,condition,slice,mean,ci_low,ci_high,n_deletion_realizations,n_training_seeds,n_queries
CoDEx-M,ComplEx,Relation-low,relation_mid,0.2545485247053781,0.24214307013787462,0.26793360199270755,3,3,3886
CoDEx-M,RotatE,Original,relation_mid,0.01633427569268084,0.013582660467793588,0.019638072477976557,1,3,3886
CoDEx-M,RotatE,Random,relation_mid,0.01674278749120215,0.01477913775073728,0.018999013534894724,3,3,3886
CoDEx-M,RotatE,Structured-low,relation_mid,0.01603251587313067,0.014395043372889464,0.01784302122778816,3,3,3886
CoDEx-M,RotatE,Relation-low,relation_mid,0.03175079983978853,0.021410643130295396,0.04231821578568567,3,3,3886
CoDEx-M,TransE,Original,coverage_high,0.11542195236771613,0.10770675128356275,0.1235884094975523,1,3,2626
CoDEx-M,TransE,Random,coverage_high,0.114894079146259,0.10715548422760547,0.1225954309271621,3,3,2626
CoDEx-M,TransE,Structured-low,coverage_high,0.12351377248037514,0.11334549331057164,0.13461355069895314,3,3,2626
CoDEx-M,TransE,Relation-low,coverage_high,0.12338139804336014,0.11466164491633632,0.1321544984444997,3,3,2626
CoDEx-M,DistMult,Original,coverage_high,0.27670696821190455,0.2655780991089292,0.2878055371786304,1,3,2626
CoDEx-M,DistMult,Random,coverage_high,0.27694984462786526,0.26598538613910266,0.2882577690028272,3,3,2626
CoDEx-M,DistMult,Structured-low,coverage_high,0.2818273430477161,0.2665397808482942,0.2976661762078148,3,3,2626
CoDEx-M,DistMult,Relation-low,coverage_high,0.2647754193960593,0.2504137466610523,0.2797637193301664,3,3,2626
CoDEx-M,ComplEx,Original,coverage_high,0.2852789224292555,0.27356922113827276,0.29738130494875537,1,3,2626
CoDEx-M,ComplEx,Random,coverage_high,0.28028687937284785,0.2683662228483111,0.29197917019765113,3,3,2626
CoDEx-M,ComplEx,Structured-low,coverage_high,0.27709357979259314,0.26220468804708613,0.29050407803859407,3,3,2626
CoDEx-M,ComplEx,Relation-low,coverage_high,0.2625309926165216,0.25125880478093376,0.27473121140650275,3,3,2626
CoDEx-M,RotatE,Original,coverage_high,0.026899715531044956,0.023422288639804473,0.030396265739755974,1,3,2626
CoDEx-M,RotatE,Random,coverage_high,0.02602792251049309,0.023418210414808693,0.028723609962174396,3,3,2626
CoDEx-M,RotatE,Structured-low,coverage_high,0.025000674135872977,0.022551887737957126,0.027596365553039733,3,3,2626
CoDEx-M,RotatE,Relation-low,coverage_high,0.04170325301633892,0.02995492228396904,0.05206443840206435,3,3,2626
CoDEx-M,TransE,Original,relation_high,0.06679578377509122,0.06227812579579293,0.07173672189542325,1,3,3635
CoDEx-M,TransE,Random,relation_high,0.06584535243851895,0.06167102636741344,0.06995904450437643,3,3,3635
CoDEx-M,TransE,Structured-low,relation_high,0.06623114283849295,0.06091250731502626,0.07158435709770823,3,3,3635
CoDEx-M,TransE,Relation-low,relation_high,0.06942907044849253,0.06484871610150718,0.07512434111308569,3,3,3635
CoDEx-M,DistMult,Original,relation_high,0.24543732827193937,0.22724763702804643,0.2606286570782432,1,3,3635
CoDEx-M,DistMult,Random,relation_high,0.24823502845204445,0.23424250196140167,0.26180036805767004,3,3,3635
CoDEx-M,DistMult,Structured-low,relation_high,0.23691016788552885,0.2263904243225505,0.24710721099646968,3,3,3635
CoDEx-M,DistMult,Relation-low,relation_high,0.26710113716747697,0.25021517073499755,0.28307159735634163,3,3,3635
CoDEx-M,ComplEx,Original,relation_high,0.24634473904187512,0.226852876742022,0.26316102606971437,1,3,3635
CoDEx-M,ComplEx,Random,relation_high,0.2465829483656791,0.23246514673233856,0.26676731481922156,3,3,3635
CoDEx-M,ComplEx,Structured-low,relation_high,0.24411213353249425,0.2305364924814607,0.2564320550253997,3,3,3635
CoDEx-M,ComplEx,Relation-low,relation_high,0.2597279171106622,0.24543003085397905,0.2781643340150481,3,3,3635
CoDEx-M,RotatE,Original,relation_high,0.02980332758702111,0.024655551104767432,0.03588665759729523,1,3,3635
CoDEx-M,RotatE,Random,relation_high,0.029482571494989115,0.026792551450320747,0.03234246581547304,3,3,3635
CoDEx-M,RotatE,Structured-low,relation_high,0.024592020136642575,0.02182147884330339,0.027358305144851464,3,3,3635
CoDEx-M,RotatE,Relation-low,relation_high,0.053636032960943936,0.042968128635949863,0.06433831529982204,3,3,3635
