dataset,model,condition,slice,clean_mean,random_mean,structured_mean,random_degradation,structured_degradation,differential_degradation,ci_low,ci_high
CoDEx-M,ComplEx,Relation-low,coverage_low,0.24817389293494288,0.24589126538336908,0.2405830196440885,0.002282627551573796,0.007590873290854366,0.00530824573928057,-0.00461027206534904,0.015009291331992625
CoDEx-M,RotatE,Structured-low,coverage_low,0.015355874111796857,0.01444095217122424,0.012005033316161016,0.0009149219405726172,0.003350840795635841,0.002435918855063224,-0.00013524792912288796,0.005507730552632225
CoDEx-M,RotatE,Relation-low,coverage_low,0.015355874111796857,0.01444095217122424,0.028095674855311555,0.0009149219405726172,-0.012739800743514699,-0.013654722684087316,-0.02072359012093997,-0.006576469577574918
CoDEx-M,TransE,Structured-low,relation_low,0.11758403940245644,0.12522258075248222,0.12344605563478865,-0.007638541350025771,-0.005862016232332207,0.0017765251176935642,-0.006462690041529882,0.010504962298294604
CoDEx-M,TransE,Relation-low,relation_low,0.11758403940245644,0.12522258075248222,0.13116049451086942,-0.007638541350025771,-0.013576455108412974,-0.005937913758387203,-0.0165656685250271,0.005234780191673164
CoDEx-M,DistMult,Structured-low,relation_low,0.27932024563072094,0.27050456584983473,0.2769022611478263,0.00881567978088621,0.002417984482894653,-0.006397695297991557,-0.01639734026303199,0.0025446730401697325
CoDEx-M,DistMult,Relation-low,relation_low,0.27932024563072094,0.27050456584983473,0.23619666553193086,0.00881567978088621,0.04312358009879008,0.03430790031790387,0.019695234643451735,0.05177902635622856
CoDEx-M,ComplEx,Structured-low,relation_low,0.2714090601972441,0.2677222678010233,0.2609365288802147,0.0036867923962207727,0.01047253131702941,0.006785738920808637,-0.003687349977372909,0.01713588204154366
CoDEx-M,ComplEx,Relation-low,relation_low,0.2714090601972441,0.2677222678010233,0.22382656323056183,0.0036867923962207727,0.047582496966682264,0.04389570457046149,0.02978646436520712,0.05790095567659625
CoDEx-M,RotatE,Structured-low,relation_low,0.011555847358421686,0.011085338896972967,0.010893265571255983,0.0004705084614487192,0.000662581787165703,0.00019207332571698384,-0.0022302835499755026,0.0025267473445354737
CoDEx-M,RotatE,Relation-low,relation_low,0.011555847358421686,0.011085338896972967,0.01391131056453666,0.0004705084614487192,-0.0023554632061149744,-0.0028259716675636936,-0.007925943097084531,0.002434012931661066
