dataset,model_a,model_b,condition,slice,interaction,ci_low,ci_high,supported
CoDEx-M,TransE,RotatE,Relation-low,overall,0.006658199164233207,-0.0015716646759382084,0.014835785349600695,False
CoDEx-M,DistMult,ComplEx,Structured-low,overall,-0.001093552645498319,-0.01161993460340674,0.007946310960453796,False
CoDEx-M,DistMult,ComplEx,Relation-low,overall,-0.0042106981787249365,-0.01575069525505432,0.0047373537317108635,False
CoDEx-M,DistMult,RotatE,Structured-low,overall,0.003061328458447768,-0.0037719731239211685,0.009637981994206126,False
CoDEx-M,DistMult,RotatE,Relation-low,overall,0.02096362215030654,0.011952140147393235,0.028828857019805143,True
CoDEx-M,ComplEx,RotatE,Structured-low,overall,0.004154881103946087,-0.0025985944110678214,0.011040362000302499,False
CoDEx-M,ComplEx,RotatE,Relation-low,overall,0.025174320329031476,0.014126594273216397,0.03550786331562368,True
CoDEx-M,TransE,DistMult,Structured-low,coverage_low,-0.005713703773606721,-0.016519047824343082,0.005633087323526208,False
CoDEx-M,TransE,DistMult,Relation-low,coverage_low,-0.011533041897877738,-0.025179002456419543,0.002477974976076157,False
CoDEx-M,TransE,ComplEx,Structured-low,coverage_low,-0.004743452307839763,-0.015967028848994685,0.006008826606843288,False
CoDEx-M,TransE,ComplEx,Relation-low,coverage_low,-0.013294184482095822,-0.025366842904668233,-0.00043338267801916317,True
CoDEx-M,TransE,RotatE,Structured-low,coverage_low,0.0012854206788585343,-0.007213314274253566,0.009596103895153349,False
CoDEx-M,TransE,RotatE,Relation-low,coverage_low,0.005668783941272064,-0.0038073847677339598,0.013992727974737456,False
CoDEx-M,DistMult,ComplEx,Structured-low,coverage_low,0.0009702514657669581,-0.011367942131815117,0.014127353566679036,False
CoDEx-M,DistMult,ComplEx,Relation-low,coverage_low,-0.001761142584218084,-0.015182620780966013,0.011765607468131318,False
CoDEx-M,DistMult,RotatE,Structured-low,coverage_low,0.006999124452465255,-0.0012278079843532563,0.01541521294852583,False
CoDEx-M,DistMult,RotatE,Relation-low,coverage_low,0.017201825839149802,0.004842818228847585,0.027944938981811596,True
CoDEx-M,ComplEx,RotatE,Structured-low,coverage_low,0.006028872986698297,-0.005087567531243241,0.016578554409052742,False
CoDEx-M,ComplEx,RotatE,Relation-low,coverage_low,0.018962968423367886,0.007749837522719253,0.030303005913888306,True
